# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
666.5,1.074771643
667,3.167236328
667.5,9.418622017
668,23.36450386
668.5,45.54508591
669,69.83283997
669.5,87.22862244
670,95.46642303
670.5,97.4548111
671,97.50283051
671.5,97.08765411
672,96.43386841
672.5,95.95307922
673,95.96282196
673.5,96.51925659
674,97.26030731
674.5,97.78868103
675,98.0076828
675.5,98.41462708
676,98.71331787
676.5,98.80234528
677,98.40351868
677.5,97.58331299
678,97.12963104
678.5,97.03231049
679,97.5760498
679.5,98.290802
680,98.65039825
680.5,98.48930359
681,97.89055634
681.5,97.14070892
682,97.09299469
682.5,97.59227753
683,97.92131805
683.5,97.87980652
684,97.22177124
684.5,95.76123047
685,94.38211823
685.5,94.06650543
686,94.57991028000001
686.5,95.86216736
687,97.35877228
687.5,98.18286133
688,98.18283844
688.5,97.4990921
689,97.09774017
689.5,97.22727203
690,97.84292603
690.5,98.5025177
691,98.21131134
691.5,96.72081757
692,94.52426147
692.5,92.32913208
693,91.31292725
693.5,91.41236877
694,92.62239075
694.5,94.65657806
695,96.22335815
695.5,97.17272949
696,97.38144684
696.5,97.10403442
697,96.63903809
697.5,96.16997528
698,95.41682434
698.5,94.87506866
699,93.55324554
699.5,92.60647583
700,92.19068909
700.5,92.51579285
701,93.79833221
701.5,95.71259308
702,97.1543045
702.5,97.81784058
703,97.00537872
703.5,95.49311066
704,93.62508392
704.5,92.49376678
705,92.27981567
705.5,93.52000427
706,95.21501923
706.5,96.84896851
707,98.34132385
707.5,98.33589172
708,97.41610718
708.5,96.15274048
709,94.93564606
709.5,94.22542572
710,94.40536499
710.5,95.17276001
711,96.41345978
711.5,97.63631439
712,98.3645401
712.5,98.76622772
713,98.83857727
713.5,98.59922028
714,98.56375885
714.5,98.43694305
715,98.69271851
715.5,98.70114136
716,99.1073761
716.5,98.89421082
717,98.67140961
717.5,98.36181641
718,98.36425781
718.5,98.38733673
719,98.49157715
719.5,98.43535614
720,97.97961426
720.5,97.68770599
721,96.84619141
721.5,96.08642578
722,95.93739319
722.5,96.02684021
723,96.61627197
723.5,97.46370697
724,98.45738983
724.5,98.51200867
725,98.26969147
725.5,97.54436493
726,96.58948517
726.5,95.65851593
727,95.41732025
727.5,95.78085327
728,96.18370819
728.5,97.00123596
729,97.58006287
729.5,97.37598419
730,97.47728729
730.5,97.32858276
731,96.85647583
731.5,97.16051483
732,97.06370544
732.5,97.30647278000001
733,97.66939545
733.5,97.2485199
734,96.53100586
734.5,95.99850464
735,96.00070953
735.5,95.89662933
736,96.23082733
736.5,96.72091675
737,96.97782135
737.5,96.98600006
738,96.44591522
738.5,94.98120117
739,93.58158875
739.5,92.59606171
740,91.93250275
740.5,92.33233643
741,93.49472809
741.5,94.59004211
742,95.32366943
742.5,96.2127533
743,95.83169556
743.5,95.08282471
744,94.22571564
744.5,93.51841736
745,93.30796051
745.5,94.07875061
746,95.09494781
746.5,95.99009705
747,97.00227356
747.5,97.90049744
748,98.28401184
748.5,97.61830139
749,97.37159729
749.5,97.2593689
750,97.4930954
750.5,97.70272064
751,97.84299469
751.5,97.85762024
752,97.37683868
752.5,96.52940369
753,95.9841156
753.5,95.73191833
754,95.27902985
754.5,95.44335938
755,96.15307617
755.5,97.00532532
756,97.79270935
756.5,98.50984955
757,98.3453598
757.5,98.2101593
758,97.63716125
758.5,97.39398193
759,97.17584229
759.5,96.91340637
760,97.3819809
760.5,97.78051758
761,97.92136383
761.5,97.9393692
762,97.62387848
762.5,97.22895813
763,96.38275909
763.5,95.73005676
764,95.05382538
764.5,94.78968048
765,94.32489777
765.5,93.96659851
766,94.42705536
766.5,94.83333588
767,95.28948975
767.5,95.68229675
768,96.40258026
768.5,96.86225891
769,96.93479919
769.5,97.25769043
770,97.17481995
770.5,96.39574432
771,96.48906708
771.5,96.15790558
772,95.74002075
772.5,96.11358643
773,96.38831329
773.5,97.16799164
774,98.29249573
774.5,97.99868011
775,98.31827545
775.5,98.19773865
776,97.26448059
776.5,96.62248993
777,96.83501434
777.5,96.22483063
778,95.96892548
778.5,96.28366089
779,96.56807709
779.5,97.34089661
780,97.06061554
780.5,97.50209808
781,97.19377136
781.5,97.731987
782,97.76856995
782.5,97.84587096999999
783,97.68737793
783.5,97.36869812
784,97.07810211
784.5,96.85930634
785,97.28977966
785.5,97.59962463
786,97.63251495
786.5,97.97173309
787,97.90291595
787.5,97.70092773
788,97.30383301
788.5,97.70261383
789,96.56854248
789.5,93.95090485
790,85.30145264
790.5,67.80437469
791,43.88753891
791.5,22.9462471
792,10.36684227
792.5,4.11921978
793,1.691660881
793.5,1.166493893
