# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
563.5,1.451493979
564,4.515580654
564.5,11.76853561
565,25.17383194
565.5,45.41886902
566,67.71577454
566.5,84.98130035
567,92.03194427
567.5,92.51402283
568,91.65807343
568.5,91.73574829
569,92.72997284
569.5,94.11154938
570,95.14994049
570.5,95.72999573
571,95.99905396
571.5,95.8134613
572,95.31806946
572.5,94.67775726
573,94.37583923
573.5,94.60755157
574,95.20894623
574.5,95.70319366
575,95.7898941
575.5,95.45360565
576,95.04876709
576.5,94.85934448
577,94.85010529
577.5,94.80921936
578,94.26318359
578.5,93.04077148
579,91.59568787
579.5,90.74327087
580,90.9562149
580.5,91.92352295
581,92.78236389
581.5,92.55296326
582,90.2035141
582.5,83.81760406
583,70.45198059
583.5,50.35218048
584,27.84416008
584.5,10.93383026
585,3.046211004
