# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
583.5,1.561838031
584,5.457098484
584.5,16.34264946
585,40.28140259
585.5,74.82595825
586,93.52374268
586.5,94.68582916
587,93.90279388
587.5,92.87062836
588,92.6352005
588.5,94.1960144
589,96.23678589
589.5,97.15402222
590,96.92851257
590.5,95.53081512
591,93.58590698
591.5,92.25596619
592,92.45136261
592.5,93.88538361
593,95.20861816
593.5,95.76273346
594,95.31964111
594.5,93.58731079
595,90.53212738
595.5,87.55470276
596,86.60009766
596.5,88.40273285
597,91.7831192
597.5,94.45657349
598,94.8568573
598.5,93.220047
599,91.03125
599.5,89.73204803
600,89.68844604
600.5,90.78850555
601,91.87247467
601.5,91.84210968
602,90.63880157
602.5,89.06274414
603,86.11582947
603.5,77.70343781
604,55.62945175
604.5,23.51212692
605,6.581247807
605.5,1.783726215
