# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
602,4.636655807
602.5,18.44475937
603,45.6701355
603.5,75.24854279
604,92.82148743
604.5,97.49591064
605,97.62587738
605.5,96.6824646
606,95.59482574
606.5,95.42743683
607,96.27185822
607.5,97.14804077
608,97.52832031
608.5,98.03383636
609,98.03119659
609.5,98.21874237
610,98.08547211
610.5,98.17147827
611,98.26211548
611.5,97.99932098
612,97.80449677
612.5,98.08492279
613,96.95513153
613.5,96.17997742
614,94.90947723
614.5,95.20867157
615,95.95687103
615.5,97.11621094
616,97.18592072
616.5,96.20800781
617,94.65257263
617.5,94.21311951
618,94.76306152
618.5,96.14246368
619,97.43959045
619.5,98.14369202
620,97.23971558
620.5,96.76680756
621,96.37485504
621.5,97.25893402
622,97.24951172
622.5,96.31407928
623,95.02629852
623.5,93.1809845
624,81.7776947
624.5,56.93593597
625,29.34465027
625.5,12.46787262
626,5.478643417
626.5,2.291638136
627,1.327066422
