# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
761,2.356164455
761.5,6.102582932
762,12.89969349
762.5,22.58228874
763,35.16889954
763.5,49.91805649
764,65.02502441
764.5,78.116539
765,86.63567352
765.5,90.95330811
766,92.7857132
766.5,94.0993042
767,95.08213043
767.5,95.8321991
768,96.0512085
768.5,95.70610809
769,94.94276428
769.5,94.02412415
770,93.29965973
770.5,92.91426849
771,92.78328705
771.5,93.03421021
772,93.47348785
772.5,94.21273804
773,95.0075531
773.5,95.58717346
774,95.59059143
774.5,94.84735107
775,93.72834778000001
775.5,92.77915192
776,92.27439117
776.5,92.52194214
777,93.43658447
777.5,94.39068604
778,95.19042206
778.5,95.69364929
779,95.81039429
779.5,95.61376953
780,95.1807785
780.5,94.71299744
781,94.05731201
781.5,93.27639008
782,92.81617737
782.5,92.99130249
783,93.38832855
783.5,94.04758453
784,94.16904449
784.5,93.63576508
785,92.43721008
785.5,91.27432251
786,90.8195343
786.5,91.18838501
787,92.0947113
787.5,92.65519714
788,92.28235626
788.5,90.53547668
789,87.04727173
789.5,80.42462158
790,68.45227814
790.5,50.90424347
791,31.63632965
791.5,14.98308945
792,5.034407616
792.5,1.26908803
