# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
737.5,1.878973484
738,4.320493698
738.5,8.791771889
739,15.50291634
739.5,24.63331795
740,36.67280197
740.5,49.93404007
741,63.84884644
741.5,77.20352173
742,86.7252655
742.5,92.26239014
743,94.60433197
743.5,95.33828735
744,95.35644531
744.5,94.82652283
745,93.70857239
745.5,92.05451202
746,90.39134216
746.5,89.09729767
747,88.72369385
747.5,89.42905426
748,90.93803406
748.5,92.62509918
749,94.11195374
749.5,95.42094421
750,96.17150116
750.5,96.28593445
751,95.47412109
751.5,94.05625916
752,92.43273163
752.5,91.48441315
753,91.69833374
753.5,93.05688477
754,94.55892181
754.5,95.50753784
755,95.5157547
755.5,94.72205353
756,93.7824707
756.5,93.04434967
757,92.60745239
757.5,92.17529297
758,91.8886261
758.5,91.84381104
759,92.21255493
759.5,92.73954773
760,93.11281586
760.5,93.15596771
761,92.77539063
761.5,92.40364075
762,91.91220093
762.5,91.22557068
763,88.26169586
763.5,81.0640564
764,67.62430573
764.5,49.36477661
765,29.80702209
765.5,13.75210094
766,5.071521759
766.5,1.623491526
