TARGET,	CFAM, P, P_err, PA, PA_err
TYC 3963-164-1, 1F, 0.098, 0.021,  78.7, 6.5
TYC 3152-569-1, 1F, 4.150, 0.196,  64.9, 0.2
Glass C,     	1F, 6.734, 0.126, 126.9, 0.9
HD 175634,      1F, 0.104, 0.039, 105.5,10.4
CD-75 527,      1F, 2.441, 0.056, 116.8, 0.6
HD 98143,       1F, 8.083, 0.054, 131.2, 0.7
TYC 3963-164-1, 4F, 0.081, 0.017,  78.7, 6.5
TYC 3152-569-1, 4F, 3.111, 0.210,  64.9, 0.2
Glass C,     	4F, 6.288, 0.170, 126.9, 0.9
HD 175634,      4F, 0.087, 0.033, 105.5,10.4
CD-75 527,      4F, 2.295, 0.074, 116.8, 0.6
HD 98143,       4F, 6.938, 0.093, 131.2, 0.7
